Title,Date
Hon'ble Union Minister Shri. V Muraleedharan launched new initiatives at NITC,"Feb 24, 2023"
"Center for Innovation, Entrepreneurship and Incubation (CIEI) in association with Bhauthiki, the Physics Association, celebrated National Science Day 2023 along with students from nearby schools","Feb 18, 2023"
NITC signed MoU with Bureau of Indian Standards (BIS),"Feb 16, 2023"
‘Powerful victory’ of NIT Calicut in the All India Inter NIT Power sports competition 2022-23,"Feb 16, 2023"
NIT Calicut ‘made waves’ in the All India Inter-NIT Swimming competition 2022-23,"Feb 10, 2023"
Republic day celebrated with patriotic fervour,"Jan 26, 2023"
NITC organizes webinar series on 'National Logistics Policy' under PM Gati Shakthi Scheme,"Jan 19, 2023"
One week workshop on 'Mathematics for Artificial Intelligence' conducted at NITC,"Jan 16, 2023"
National Institute of Technology Calicut signed MoU with KMCT Medical College and KMCT Dental College,"Jan 09, 2023"
All India Inter-NIT hockey and handball tournament concludes at NITC,"Jan 08, 2023"
NITC stall enthralls tech enthusiasts in the DISHA Expo,"Jan 07, 2023"
All India Inter-NIT Hockey and Handball Tournament starts at NIT Calicut,"Jan 06, 2023"
"NIT Calicut and Ulster University, Belfast, UK Signed a Memorandum of Understanding","Jan 04, 2023"
Foundation stone laid for the student plaza ‘97th Avenue’,"Dec 28, 2022"
Outstanding Achievement for NIT Calicut in NBA Accreditation,"Dec 13, 2022"
Members of the ‘Little Kites’ Unit of ‘Calicut Girls Higher Secondary School’ visited the NITC campus,"Dec 08, 2022"
NIT Calicut inks MoU with Bosch to launch M.Tech programme in Electric Vehicle Engineering,"Nov 18, 2022"
National Level Workshop on 'Device Fabrication' at NITC,"Nov 14, 2022"
NITC organized symposium at Wayanad on the heritage of Kerala Varma Pazhassi Raja,"Nov 05, 2022"
NITC organized hands-on workshop for school students on modern Biotechnology techniques,"Nov 04, 2022"
National Unity Day celebrated at NITC,"Oct 31, 2022"
Tathva Technical Fest conducted at NITC,"Oct 21, 2022"
Onam celebrated at NITC with traditional gaiety,"Sep 06, 2022"
18th convocation held at NITC,"Sep 03, 2022"
Foundation day 2022,"Sep 01, 2022"
World NITCAA meet conducted at NITC,"Aug 26, 2022"
Azadi ka Amrit Mahotsav,"Aug 15, 2022"
75th Independence Day Celebration,"Aug 15, 2022"
